HomeCountry,TargetCountry,GeographicDistanceKM,Normalized_GeographicDistance,CulturalDistance,Normalized_CulturalDistance,AdministrativeDistance_x,EconomicDistance_x,Normalized_AdministrativeDistance,Normalized_EconomicDistance_x,CAGE_Score,AdministrativeDistance_y,AdministrativeDistance,EconomicDistance_y,Normalized_EconomicDistance_y,EconomicDistance,Normalized_EconomicDistance
UK,Japan,9558.73303551977,0.5546904573466234,91.64060235506966,0.7490008843813476,0.5,0.3,1.0,0.3,0.5944872743611829,1.0,1.0,0.3003791583342642,0.07425775571676033,0.3003791583342642,0.07425775571676033
UK,"Korea, South",8858.526807021804,0.512688017463978,113.56055653262712,1.0,0.5,0.3,0.5,0.3,0.5258252893528576,0.5,0.5,,,0.34925323241053774,0.09061313994745195
UK,Mexico,8928.71532382951,0.516898332707805,96.5815717411971,0.8055785093239475,0.5,0.3,0.5,0.3,0.5657534444669197,0.5,0.5,1.394915093977266,0.440536935835926,1.394915093977266,0.440536935835926
UK,China,8140.351860217734,0.4696077094052105,100.65783625729296,0.8522546465220483,0.5,0.3,1.0,0.3,0.6817050908471992,1.0,1.0,1.2885961499281764,0.4049580074615381,1.2885961499281764,0.4049580074615381
UK,Argentina,11127.777906611836,0.6488108895692698,75.86830695356264,0.5683968482147201,0.5,0.3,1.0,0.3,0.647526632608966,1.0,1.0,1.1927950108455256,0.37289879265187414,1.1927950108455256,0.37289879265187414
UK,France,343.51706327942276,0.0019082353005313,71.61005515987263,0.5196368268369369,0.5,0.3,0.5,0.3,0.2581621101552155,0.5,0.5,0.11165771543766054,0.011103378483393796,0.11165771543766054,0.011103378483393796
UK,Spain,1263.3780190124996,0.0570868425752073,75.75618786607468,0.5671130046639768,0.5,0.3,0.5,0.3,0.30933058121504065,0.5,0.5,0.4165168944160663,0.11312247762097853,0.4165168944160663,0.11312247762097853
UK,Turkey,2832.9353251080465,0.1512380136281462,83.85105843100611,0.659805048469684,0.5,0.3,1.0,0.3,0.5682889773169438,1.0,1.0,,,1.459389439179328,0.46211284716994533
UK,United States,5896.48256113378,0.3350073852386264,28.142494558940577,0.021902243061914396,0.5,0.3,0.0,0.3,0.12699476814143842,0.0,0.0,0.5299121428908719,0.1510694442652129,0.5299121428908719,0.1510694442652129
UK,Germany,931.5551617438286,0.0371821787106592,57.0,0.35234127071655513,0.5,0.3,0.25,0.3,0.1598808623568036,0.25,0.25,0.07847797873199816,0.0,0.07847797873199816,0.0
UK,South Africa,9671.027449474605,0.5614265290628271,36.08323710533743,0.11282941108225879,0.5,0.3,0.0,0.3,0.32529187347404853,0.0,0.0,1.9518501530039172,0.6269115537511082,1.9518501530039172,0.6269115537511082
UK,Nigeria,4770.07244063418,0.2674387583913927,87.24104538575865,0.6986228179188932,0.5,0.3,0.0,0.3,0.4915153940775715,0.0,0.0,3.0667339186052507,1.0,3.0667339186052507,1.0
UK,Brazil,8792.115640450145,0.5087042896450379,76.6550715869472,0.5774058646378359,0.5,0.3,1.0,0.3,0.6487559607958071,1.0,1.0,1.599242332471291,0.5089136889003545,1.599242332471291,0.5089136889003545
UK,Italy,1433.9048807571091,0.0673160350149386,60.25777958073132,0.38964517140085764,0.5,0.3,0.5,0.3,0.25391611818643306,0.5,0.5,0.25389836303239083,0.058703266329935964,0.25389836303239083,0.058703266329935964
UK,Netherlands,357.31763656583223,0.0027360739089537,58.09475019311125,0.36487694155183475,0.5,0.3,0.25,0.3,0.16895186383038627,0.25,0.25,0.252377859313501,0.05819443986075665,0.252377859313501,0.05819443986075665
UK,Belgium,320.7646346159588,0.0005434123694766,76.32823854904552,0.5736633931525501,0.5,0.3,0.25,0.3,0.2079183957761846,0.25,0.25,0.10079062119524855,0.007466777582711601,0.10079062119524855,0.007466777582711601
UK,Canada,5360.669021291348,0.3028661744358941,26.229754097208,0.0,0.5,0.3,0.0,0.3,0.08498840050879926,0.0,0.0,0.1893047045502344,0.03708742759930295,0.1893047045502344,0.03708742759930295
UK,South Africa,9025.331492190056,0.5226939321156545,36.08323710533743,0.11282941108225879,0.5,0.3,0.0,0.3,0.3156087242372554,0.0,0.0,1.9518501530039172,0.6269115537511082,1.9518501530039172,0.6269115537511082
UK,Netherlands,311.7056197869744,0.0,58.09475019311125,0.36487694155183475,0.5,0.3,0.25,0.3,0.16826784535314784,0.25,0.25,0.252377859313501,0.05819443986075665,0.252377859313501,0.05819443986075665
UK,Australia,16982.31405240036,1.0,34.45286635390443,0.09416050267919386,0.5,0.3,0.0,0.3,0.2960127487833877,0.0,0.0,0.34709377674686204,0.08989049245435693,0.34709377674686204,0.08989049245435693
UK,South Africa,9328.129483600636,0.54085751580455,36.08323710533743,0.11282941108225879,0.5,0.3,0.0,0.3,0.32014962015947923,0.0,0.0,1.9518501530039172,0.6269115537511082,1.9518501530039172,0.6269115537511082
UK,India,6711.232907031922,0.3838808471276485,73.61385739111897,0.5425817921340111,0.5,0.3,0.0,0.3,0.47366675997885715,0.0,0.0,2.9717205299970457,0.968204400653769,2.9717205299970457,0.968204400653769
